x,y,w_right,w_left,x_normvec,y_normvec,alpha,s,psj,kappa,vx,ax
-0.2310561470252146,-0.009141818095413257,1.625,1.625,-0.9911566636975903,-0.13269690278172294,0,0,1.703885779621652,0,0.0,0.0
-0.36375301557237194,0.982014589892985,1.625,1.625,-0.9909564215770871,-0.13418409196001754,0,1,1.7053863891582808,-0.0030012549866156634,1.9052220755411073,2.5399893016754955
-0.49942262908823554,1.9727584567571683,1.625,1.625,-0.9902186417096753,-0.1395243405669624,0,2,1.710777367242368,-0.007780800815567739,3.1027902373098035,3.2657005307256366
-0.6427981656559436,2.9624268130836295,1.625,1.625,-0.9896683563264624,-0.14337553656770818,0,3,1.7146676813334147,0.0,3.8104441510822142,3.628556145250708
-0.7861737022236517,3.9520951694100908,1.625,1.625,-0.9896736073919788,-0.1433392857235841,0,4,1.7146310521457508,7.325837599231588e-05,5.00801231285091,4.172839567038314
-0.9294767357630311,4.941774018615117,1.625,1.625,-0.9896945145763928,-0.14319485960535822,0,5,1.7144851206069263,0.00021860470380181222,5.443491644403163,4.35426737430085
-1.0725634185770123,5.931484178814198,1.625,1.625,-0.9896406934301059,-0.14356635367376025,0,6,1.714860493168923,-0.0009693569503666841,6.3688852239517,4.7171229888259205
-1.216608380582091,6.921048081186763,1.625,1.625,-0.9884791003820845,-0.1513574184102809,0,7,1.7227376950192381,-0.014785682442020788,7.366858692092281,5.079978603350991
-1.3752688992972368,7.908381277124709,1.625,1.625,-0.9873331959379472,-0.1586605187151459,0,8,1.7301301655082018,-2.164550405139391e-16,7.893062884384587,5.261406410613526
-1.5339294180123828,8.895714473062656,1.625,1.625,-0.9873311738290513,-0.1586731016440643,0,9,1.7301429098804717,-2.5488744671982532e-05,8.437412048824903,5.442834217876062
-1.6926151017556765,9.883043619620135,1.625,1.625,-0.9867851338619883,-0.16203425436918562,0,10,1.7335481291820567,-0.00678512672405725,8.999906185413229,5.624262025138597
-1.8579932900849565,10.86925650359137,1.625,1.625,-0.9857834318854709,-0.1680209076874162,0,11,1.739618016983559,-0.005354739521646497,9.580545294149566,5.805689832401132
-2.0286528393732652,11.854586559073649,1.625,1.625,-0.9853300554822791,-0.1706595492883086,0,12,1.7422953260696743,1.347360165433342e-16,10.179329375033914,5.987117639663667
-2.1993123886615735,12.839916614555927,1.625,1.625,-0.9853293489571149,-0.17066362847352168,0,13,1.7422994659887328,-8.279838117321165e-06,10.796258428066272,6.168545446926203
-2.369980096312458,13.825245256942553,1.625,1.625,-0.9853280475466594,-0.17067114201846809,0,14,1.7423070914085137,-6.971001444622701e-06,11.431179053723652,6.34843944422396
-2.5406546726915105,14.810572709608838,1.625,1.625,-0.9853274526662854,-0.17067457637905253,0,15,1.7423105769092357,0.0,12.04795470723302,6.1670116369614245
-2.711329249070563,15.795900162275123,1.625,1.625,-0.9841293819717523,-0.17745241486070806,0,16,1.7491935017891136,-0.013766909397898297,12.646585388594376,5.985583829698889
-2.8955438914849108,16.778744897255525,1.625,1.625,-0.982337071060993,-0.1871199583671117,0,17,1.7590258237263428,-0.0058982743220829656,12.646585388594376,5.985583829698889
-3.0855599419503132,17.76052588126648,1.625,1.625,-0.9817809840109604,-0.19001605046540276,0,18,1.7619748216157198,6.688357510647525e-16,13.227071097807725,5.804156022436353
-3.2755759924157157,18.742306865277442,1.625,1.625,-0.9804335722899358,-0.19685022308037983,0,19,1.7689405685155615,-0.013932582524989315,13.78941183487306,5.622728215173818
-3.479242637828276,19.721304618666014,1.625,1.625,-0.9784252547283693,-0.20660111546099091,0,20,1.7788961729812245,-0.0059791747078582974,14.333607599790389,5.441300407911282
-3.6887677722097445,20.69910788009565,1.625,1.625,-0.9778032614296333,-0.20952513438146825,0,21,1.7818856159003094,-7.430383560033108e-16,14.333607599790389,5.441300407911282
-3.898292906591213,21.67691114152528,1.625,1.625,-0.9778032614296331,-0.2095251343814687,0,22,1.7818856159003098,0.0,14.859658392559703,5.259872600648746
-4.107818040972681,22.654714402954912,1.625,1.625,-0.9778032614296331,-0.2095251343814689,0,23,1.78188561590031,-4.2459334628760683e-16,15.367564213181009,5.078444793386211
-4.31734317535415,23.632517664384544,1.625,1.625,-0.9750087005227556,-0.2221666804562006,0,24,1.7948324533209894,-0.025906573908927803,15.367564213181009,5.078444793386211
-4.552030580769985,24.604201564100432,1.625,1.625,-0.9685360819840872,-0.24887317632664502,0,25,1.8223129779860814,-0.02906194968119525,15.857325061654302,4.897016986123675
-4.814943403418387,25.56902115743747,1.625,1.625,-0.9648195933370393,-0.26291282264840204,0,26,1.8368363269186643,9.301328184533834e-16,15.857325061654302,4.897016986123675
-5.077856226066789,26.53384075077451,1.625,1.625,-0.9648195933370395,-0.2629128226484012,0,27,1.8368363269186634,8.784587729837503e-16,16.328940937979585,4.715589178861141
-5.34076904871519,27.49866034411155,1.625,1.625,-0.9648195933370395,-0.2629128226484012,0,28,1.8368363269186634,-8.784587729837503e-16,16.782411842156858,4.534161371598604
-5.603681871363592,28.46347993744859,1.625,1.625,-0.9643948823104114,-0.2644664647426737,0,29,1.838446973923457,-0.003221357224150086,16.782411842156858,4.534161371598604
-5.869696569839512,29.427430386777456,1.625,1.625,-0.962478297490886,-0.2713586682953864,0,30,1.8456007131855874,-0.011086356849885298,17.21773777418612,4.352733564336069
-6.1463860252071285,30.388389774727003,1.625,1.625,-0.9609593879495488,-0.27668945536761713,0,31,1.8511436777056038,0.0,17.21773777418612,4.352733564336069
-6.423075480574745,31.34934916267655,1.625,1.625,-0.9609593879495488,-0.27668945536761713,0,32,1.8511436777056038,0.0,17.634918734067373,4.171305757073534
-6.699764935942362,32.3103085506261,1.625,1.625,-0.9609593879495489,-0.2766894553676167,0,33,1.8511436777056034,1.0252276197868191e-15,17.634918734067373,4.171305757073534
-6.976454391309979,33.27126793857565,1.625,1.625,-0.960959387949549,-0.27668945536761624,0,34,1.851143677705603,0.0,18.03395472180061,3.989877949810999
-7.253143846677595,34.2322273265252,1.625,1.625,-0.9609593879495488,-0.27668945536761713,0,35,1.8511436777056038,-1.9991938585842997e-15,18.414845737385843,3.808450142548464
-7.529833302045212,35.19318671447474,1.625,1.625,-0.9609593879495488,-0.27668945536761713,0,36,1.8511436777056038,1.9991938585842997e-15,18.414845737385843,3.808450142548464
-7.806522757412829,36.15414610242429,1.625,1.625,-0.9551486932604384,-0.2961266177885349,0,37,1.8714311509876418,-0.04058704106697014,18.777591780823062,3.6270223352859277
-8.121954505921634,37.103058236183855,1.625,1.625,-0.9486778000165819,-0.3162442596407062,0,38,1.8925642670480156,-0.0016898948375380063,18.777591780823062,3.6270223352859277
-8.439000207606004,38.0514684971171,1.625,1.625,-0.9484102609332449,-0.31704570168436974,0,39,1.8934091851227033,0.0,19.122192852112274,3.4455945280233933
-8.756045909290373,38.99987875805034,1.625,1.625,-0.9484102609332452,-0.3170457016843687,0,40,1.8934091851227022,2.2469077174933563e-15,19.122192852112274,3.4455945280233933
-9.073091610974743,39.948289018983594,1.625,1.625,-0.9484102609332452,-0.3170457016843687,0,41,1.8934091851227022,-2.2469077174933563e-15,19.448648951253475,3.264166720760857
-9.390137312659112,40.89669927991684,1.625,1.625,-0.9484102609332451,-0.31704570168436913,0,42,1.8934091851227026,1.6976636087727642e-15,19.448648951253475,3.264166720760857
-9.70718301434348,41.84510954085008,1.625,1.625,-0.9335126038624993,-0.35854458360133745,0,43,1.937504677270735,-0.08829987102230114,19.756960078246664,3.082738913498322
-10.106461374650644,42.7617324470685,1.625,1.625,-0.915936392909239,-0.40132346572859684,0,44,1.9837576481736696,-0.004298228480095515,19.756960078246664,3.082738913498322
-10.509751986818898,43.67680440169118,1.625,1.625,-0.9150719546226708,-0.40329061216825357,0,45,1.9859063502104044,-2.8354406384131346e-15,20.04712623309184,2.9013111062357866
-10.913042598987152,44.59187635631385,1.625,1.625,-0.9150719546226708,-0.40329061216825357,0,46,1.9859063502104044,2.8354406384131346e-15,20.04712623309184,2.9013111062357866
-11.316333211155406,45.50694831093652,1.625,1.625,-0.9150719546226708,-0.40329061216825357,0,47,1.9859063502104044,-2.8354406384131346e-15,20.31914741578901,2.7198832989732513
-11.71962382332366,46.42202026555919,1.625,1.625,-0.9150719546226702,-0.40329061216825496,0,48,1.985906350210406,0.0,20.31914741578901,2.7198832989732513
-12.122914435491914,47.33709222018186,1.625,1.625,-0.9129234728988528,-0.4081307788323464,0,49,1.9912019382409303,-0.010592238219825035,20.57302362633817,2.538455491710716
-12.535837929197443,48.247761069267156,1.625,1.625,-0.9072777523796679,-0.4205319013308003,0,50,2.0048278280102267,-0.016660138362404944,20.57302362633817,2.538455491710716
-12.963911963050332,49.151504739530424,1.625,1.625,-0.9037436702632644,-0.42807403385288856,0,51,2.013156927628241,-1.4508441053722912e-15,20.808754864739313,2.357027684448181
-13.39198599690322,50.055248409793684,1.625,1.625,-0.9037436702632644,-0.42807403385288856,0,52,2.013156927628241,1.4508441053722912e-15,20.808754864739313,2.357027684448181
-13.820060030756109,50.95899208005695,1.625,1.625,-0.9037436702632642,-0.42807403385288895,0,53,2.0131569276282413,-3.0377048456232324e-15,21.026341130992453,2.175599877185645
-14.248134064608998,51.86273575032021,1.625,1.625,-0.9037436702632642,-0.42807403385288895,0,54,2.0131569276282413,3.0377048456232324e-15,21.026341130992453,2.175599877185645
-14.676208098461887,52.76647942058348,1.625,1.625,-0.9037445546169478,-0.4280721668132778,0,55,2.013154861734162,4.13178815637908e-06,21.225782425097577,1.9941720699231098
-15.104278398154811,53.670224859383644,1.625,1.625,-0.9037645379814364,-0.4280299754540572,0,56,2.0131081772008605,8.92372785150193e-05,21.225782425097577,1.9941720699231098
-15.53226804843896,54.574008494580504,1.625,1.625,-0.9037836351968604,-0.4279896502841492,0,57,2.0130635585616456,0.0,21.40707874705469,1.8127442626605745
-15.960257698723108,55.47779212977736,1.625,1.625,-0.9037836351968602,-0.4279896502841496,0,58,2.013063558561646,-1.587001090194041e-15,21.40707874705469,1.8127442626605745
-16.38824734900726,56.38157576497422,1.625,1.625,-0.9037836351968612,-0.4279896502841476,0,59,2.013063558561644,6.257318584193644e-15,21.40707874705469,1.8127442626605745
-16.816236999291405,57.28535940017109,1.625,1.625,-0.9037836351968612,-0.4279896502841476,0,60,2.013063558561644,-6.257318584193644e-15,21.570230096863796,1.6313164553980393
-17.244226649575555,58.18914303536795,1.625,1.625,-0.9024705374080398,-0.4307515863121617,0,61,2.016121748175613,-0.006116791175483174,21.570230096863796,1.6313164553980393
-17.677708634888283,59.09023440154946,1.625,1.625,-0.8965736366494732,-0.4428946986193652,0,62,2.0296210586173107,-0.02088264027905976,21.71523647452489,1.449888648135504
-18.12993948687043,59.98213532458716,1.625,1.625,-0.8919009230376991,-0.45223085198214896,0,63,2.0400613173388504,-6.358811529451721e-15,21.71523647452489,1.449888648135504
-18.58217033885258,60.87403624762486,1.625,1.625,-0.8919009230376991,-0.45223085198214896,0,64,2.0400613173388504,6.358811529451721e-15,21.842097880037972,1.2684608408729687
-19.03440119083473,61.76593717066256,1.625,1.625,-0.8919009230376999,-0.4522308519821474,0,65,2.0400613173388487,-3.2677225915238088e-15,21.842097880037972,1.2684608408729687
-19.486632042816876,62.657838093700256,1.625,1.625,-0.8919009230376999,-0.4522308519821474,0,66,2.0400613173388487,3.2677225915238088e-15,21.950814313403043,1.0870330336104335
-19.938862894799023,63.54973901673796,1.625,1.625,-0.8929487801132648,-0.4501582789355675,0,67,2.037738912139829,0.004644900891721059,21.950814313403043,1.0870330336104335
-20.38693819642962,64.44371501569736,1.625,1.625,-0.8956946639075635,-0.4446696178597285,0,68,2.0316016980780107,0.007629573087975644,22.041385774620107,0.9056052263478975
-20.828187780637784,65.34109943969642,1.625,1.625,-0.8973844239990614,-0.44124958420815863,0,69,2.0277869979598817,9.432346444794418e-15,22.041385774620107,0.9056052263478975
-21.269437364845942,66.23848386369549,1.625,1.625,-0.8973844239990614,-0.44124958420815863,0,70,2.0277869979598817,-9.432346444794418e-15,22.041385774620107,0.9056052263478975
